Season,Team Name,Seed,Region,Post-Season Tournament,Post-Season Tournament Sorting Index,Vulnerable Top 2 Seed?,Tournament Winner?,Tournament Championship?,Final Four?
2025,Elon,3,CBI,CBI,3,,,,
2025,Army,6,CBI,CBI,3,,,,
2025,Queens University,2,CBI,CBI,3,,,,
2025,Northern Arizona,7,CBI,CBI,3,,,,
2024,Purdue,1,Midwest,March Madness,1,No,,Yes,Yes
2024,Montana State,16,Midwest,March Madness,1,,,,
2024,Grambling,16,Midwest,March Madness,1,,,,
2024,Utah State,8,Midwest,March Madness,1,,,,
2024,TCU,9,Midwest,March Madness,1,,,,
2024,Gonzaga,5,Midwest,March Madness,1,,,,
2024,McNeese,12,Midwest,March Madness,1,,,,
2024,Kansas,4,Midwest,March Madness,1,,,,
2024,Samford,13,Midwest,March Madness,1,,,,
2024,South Carolina,6,Midwest,March Madness,1,,,,
2024,Oregon,11,Midwest,March Madness,1,,,,
2024,Creighton,3,Midwest,March Madness,1,,,,
2024,Akron,14,Midwest,March Madness,1,,,,
2024,Texas,7,Midwest,March Madness,1,,,,
2024,Virginia,10,Midwest,March Madness,1,,,,
2024,Colorado State,10,Midwest,March Madness,1,,,,
2024,Tennessee,2,Midwest,March Madness,1,Yes,,,
2024,Saint Peter's,15,Midwest,March Madness,1,,,,
2024,North Carolina,1,West,March Madness,1,No,,,
2024,Howard,16,West,March Madness,1,,,,
2024,Wagner,16,West,March Madness,1,,,,
2024,Mississippi State,8,West,March Madness,1,,,,
2024,Michigan State,9,West,March Madness,1,,,,
2024,Saint Mary's,5,West,March Madness,1,,,,
2024,Grand Canyon,12,West,March Madness,1,,,,
2024,Alabama,4,West,March Madness,1,,,,Yes
2024,Charleston,13,West,March Madness,1,,,,
2024,Clemson,6,West,March Madness,1,,,,
2024,New Mexico,11,West,March Madness,1,,,,
2024,Baylor,3,West,March Madness,1,,,,
2024,Colgate,14,West,March Madness,1,,,,
2024,Dayton,7,West,March Madness,1,,,,
2024,Nevada,10,West,March Madness,1,,,,
2024,Arizona,2,West,March Madness,1,No,,,
2024,Long Beach State,15,West,March Madness,1,,,,
2024,UConn,1,East,March Madness,1,No,Yes,Yes,Yes
2024,Stetson,16,East,March Madness,1,,,,
2024,Florida Atlantic,8,East,March Madness,1,,,,
2024,Northwestern,9,East,March Madness,1,,,,
2024,San Diego State,5,East,March Madness,1,,,,
2024,UAB,12,East,March Madness,1,,,,
2024,Auburn,4,East,March Madness,1,,,,
2024,Yale,13,East,March Madness,1,,,,
2024,BYU,6,East,March Madness,1,,,,
2024,Duquesne,11,East,March Madness,1,,,,
2024,Illinois,3,East,March Madness,1,,,,
2024,Morehead State,14,East,March Madness,1,,,,
2024,Washington State,7,East,March Madness,1,,,,
2024,Drake,10,East,March Madness,1,,,,
2024,Iowa State,2,East,March Madness,1,No,,,
2024,South Dakota State,15,East,March Madness,1,,,,
2024,Houston,1,South,March Madness,1,No,,,
2024,Longwood,16,South,March Madness,1,,,,
2024,Nebraska,8,South,March Madness,1,,,,
2024,Texas A&M,9,South,March Madness,1,,,,
2024,Wisconsin,5,South,March Madness,1,,,,
2024,James Madison,12,South,March Madness,1,,,,
2024,Duke,4,South,March Madness,1,,,,
2024,Vermont,13,South,March Madness,1,,,,
2024,Texas Tech,6,South,March Madness,1,,,,
2024,NC State,11,South,March Madness,1,,,,Yes
2024,Kentucky,3,South,March Madness,1,,,,
2024,Oakland,14,South,March Madness,1,,,,
2024,Florida,7,South,March Madness,1,,,,
2024,Boise State,10,South,March Madness,1,,,,
2024,Colorado,10,South,March Madness,1,,,,
2024,Marquette,2,South,March Madness,1,No,,,
2024,Western Kentucky,15,South,March Madness,1,,,,
2024,Seton Hall,1,NIT 1,NIT,2,,,,
2024,Saint Joseph's,8,NIT 1,NIT,2,,,,
2024,LSU,4,NIT 1,NIT,2,,,,
2024,North Texas,5,NIT 1,NIT,2,,,,
2024,Providence,3,NIT 1,NIT,2,,,,
2024,Boston College,6,NIT 1,NIT,2,,,,
2024,Princeton,2,NIT 1,NIT,2,,,,
2024,UNLV,7,NIT 1,NIT,2,,,,
2024,Wake Forest,1,NIT 2,NIT,2,,,,
2024,App State,8,NIT 2,NIT,2,,,,
2024,Georgia,4,NIT 2,NIT,2,,,,
2024,Xavier,5,NIT 2,NIT,2,,,,
2024,Virginia Tech,3,NIT 2,NIT,2,,,,
2024,Richmond,6,NIT 2,NIT,2,,,,
2024,Ohio State,2,NIT 2,NIT,2,,,,
2024,Cornell,7,NIT 2,NIT,2,,,,
2024,Indiana State,1,NIT 3,NIT,2,,,,
2024,SMU,8,NIT 3,NIT,2,,,,
2024,Butler,4,NIT 3,NIT,2,,,,
2024,Minnesota,5,NIT 3,NIT,2,,,,
2024,Bradley,3,NIT 3,NIT,2,,,,
2024,Loyola Chicago,6,NIT 3,NIT,2,,,,
2024,Cincinnati,2,NIT 3,NIT,2,,,,
2024,San Francisco,7,NIT 3,NIT,2,,,,
2024,Villanova,1,NIT 4,NIT,2,,,,
2024,VCU,8,NIT 4,NIT,2,,,,
2024,UCF,4,NIT 4,NIT,2,,,,
2024,South Florida,5,NIT 4,NIT,2,,,,
2024,Iowa,3,NIT 4,NIT,2,,,,
2024,Kansas State,6,NIT 4,NIT,2,,,,
2024,Utah,2,NIT 4,NIT,2,,,,
2024,UC Irvine,7,NIT 4,NIT,2,,,,
2024,High Point,1,CBI,CBI,3,,,,
2024,Northern Colorado,8,CBI,CBI,3,,,,
2024,Cleveland State,9,CBI,CBI,3,,,,
2024,Arkansas State,4,CBI,CBI,3,,,,
2024,Bethune-Cookman,13,CBI,CBI,3,,,,
2024,Montana,5,CBI,CBI,3,,,,
2024,Presbyterian,12,CBI,CBI,3,,,,
2024,UC San Diego,2,CBI,CBI,3,,,,
2024,Chicago State,15,CBI,CBI,3,,,,
2024,Fairfield,7,CBI,CBI,3,,,,
2024,Little Rock,10,CBI,CBI,3,,,,
2024,Seattle U,3,CBI,CBI,3,,,,
2024,Delaware State,14,CBI,CBI,3,,,,
2024,Quinnipiac,6,CBI,CBI,3,,,,
2024,Evansville,11,CBI,CBI,3,,,,
2024,Texas A&M-Corpus Christi,1,Lou Henson Classic,CIT,4,,,,
2024,Abilene Christian,4,Lou Henson Classic,CIT,4,,,,
2024,Tarleton State,2,Lou Henson Classic,CIT,4,,,,
2024,Texas Southern,3,Lou Henson Classic,CIT,4,,,,
2024,Purdue Fort Wayne,1,Jim Phelan Classic,CIT,4,,,,
2024,Bowling Green,2,Jim Phelan Classic,CIT,4,,,,
2024,Austin Peay,1,High Durham Classic,CIT,4,,,,
2024,Alabama A&M,2,High Durham Classic,CIT,4,,,,
2024,Norfolk State,1,John McLendon Classic,CIT,4,,,,
2023,Alabama,1,South,March Madness,1,No,,,
2023,Texas A&M-Corpus Christi,16,South,March Madness,1,,,,
2023,Southeast Missouri State,16,South,March Madness,1,,,,
2023,Maryland,8,South,March Madness,1,,,,
2023,West Virginia,9,South,March Madness,1,,,,
2023,San Diego State,5,South,March Madness,1,,,Yes,Yes
2023,Charleston,12,South,March Madness,1,,,,
2023,Virginia,4,South,March Madness,1,,,,
2023,Furman,13,South,March Madness,1,,,,
2023,Creighton,6,South,March Madness,1,,,,
2023,NC State,11,South,March Madness,1,,,,
2023,Baylor,3,South,March Madness,1,,,,
2023,UC Santa Barbara,14,South,March Madness,1,,,,
2023,Missouri,7,South,March Madness,1,,,,
2023,Utah State,10,South,March Madness,1,,,,
2023,Arizona,2,South,March Madness,1,No,,,
2023,Princeton,15,South,March Madness,1,,,,
2023,Purdue,1,East,March Madness,1,No,,,
2023,Texas Southern,16,East,March Madness,1,,,,
2023,Fairleigh Dickinson,16,East,March Madness,1,,,,
2023,Memphis,8,East,March Madness,1,,,,
2023,Florida Atlantic,9,East,March Madness,1,,,,Yes
2023,Duke,5,East,March Madness,1,,,,
2023,Oral Roberts,12,East,March Madness,1,,,,
2023,Tennessee,4,East,March Madness,1,,,,
2023,Louisiana,13,East,March Madness,1,,,,
2023,Kentucky,6,East,March Madness,1,,,,
2023,Providence,11,East,March Madness,1,,,,
2023,Kansas State,3,East,March Madness,1,,,,
2023,Montana State,14,East,March Madness,1,,,,
2023,Michigan State,7,East,March Madness,1,,,,
